,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Interior Color,Seats,Registered Car,Exchange Possible,Price,Location,VIN Chassis number,Registered city,Selling Condition,Bought Condition
288,,Toyota,Sienna,2005,,,,,,,White,,,Yes,,4500000.0,Lagos,,,,
289,"Original parts, Unpainted, No faults",Mazda,6,2008,,,,,,,Silver,,,,,2350000.0,Lagos,,,,
290,,Lexus,IS,2009,,,,,,,Black,Black,,Yes,,5000000.0,Lagos,,,,
291,,Toyota,Highlander,2015,Limited 4dr SUV AWD (3.5L 6cyl 6A),SUV,All Wheel,3500cc,6,270hp,Black,Beige,7,No,No,22500000.0,Lagos,,,,
292,No faults,Lexus,LX,2021,570 AWD,SUV,All Wheel,5700cc,8,370hp,Black,Red,8,No,,170000000.0,Lagos,,,,
293,No faults,Toyota,Camry,2011,LE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500cc,4,169hp,Gray,Other,5,No,,11000000.0,Lagos,,,,
294,No faults,Toyota,Camry,2013,SE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500cc,4,178hp,Silver,Black,5,,,14800000.0,Lagos,,,,
295,,,,,,,,,,,,,,,,11025000.0,Unknown,,,,
296,"First owner, First registration",Lexus,RX 350,2010,,,,,,,Silver,Black,,Yes,,18000000.0,Lagos,,,,
297,No faults,Toyota,Camry,2008,,,,,,,Blue,Other,,Yes,,11200000.0,Lagos,,,,
298,No faults,Toyota,Highlander,2017,,,,,,,Black,Black,,No,,37000000.0,Abuja,,,,
299,No faults,Lexus,GX,2010,460,,,,,,Black,Other,,Yes,,27000000.0,Lagos,,,,
300,No faults,Toyota,RAV4,2008,2.4,SUV,Front Wheel,2400cc,4,,Gray,Gray,5,No,Yes,10100000.0,Lagos,,,,
301,,Toyota,Sienna,2002,,,,,,,Gold,Gray,,Yes,,3800000.0,Lagos,,,,
302,No faults,Mercedes-Benz,GLE-Class,2020,,,,,,,Gray,Other,,No,No,106000000.0,Lagos,,,,
303,"Original parts, Unpainted, No faults",Toyota,Highlander,2012,Limited,SUV,Front Wheel,3500cc,6,274hp,Silver,Black,5,No,,19400000.0,Lagos,,,,
304,"First registration, Original parts, Unpainted",Toyota,Camry,2008,XLE V6 4dr Sedan (3.5L 6cyl 6AM),Sedan,Front,3500cc,6,268hp,Red,Other,5,Yes,,5900000.0,Rivers,,,,
305,"No faults, Unpainted",Toyota,Tundra,2016,,,,,,,Brown,Black,,No,,37500000.0,Lagos,,,,
306,No faults,Mercedes-Benz,R-Class,2008,,,,,,,Blue,Other,,No,,8800000.0,Lagos,,,,
307,No faults,Ford,Edge,2013,Limited 4dr AWD (3.5L 6cyl 6A),SUV,All Wheel,3500cc,6,285hp,Burgundy,Black,5,No,,10500000.0,Lagos,,,,
308,"No faults, Unpainted, Original parts",Toyota,Hilux,2022,Revo Double Cab Petrol 2.7 AWD,,,,,,White,Other,,No,Yes,73500000.0,Lagos,,,,
309,No faults,Toyota,Highlander,2018,,,,,,,Blue,Black,,No,No,47000000.0,Lagos,,,,
310,No faults,Toyota,Highlander,2021,Platinum,SUV,Front Wheel,3500cc,6,295hp,Gray,Orange,7,No,No,95000000.0,Lagos,,,,
311,No faults,Lexus,RX,2000,300 4WD,SUV,All Wheel,3000cc,6,201hp,Silver,Other,5,,,3650000.0,Lagos,,,,
312,,Toyota,Highlander,2021,Platinum,SUV,Front Wheel,3500cc,6,295hp,Blue,Gray,7,,,80000000.0,Abuja,,,,
313,No faults,Land Rover,Range Rover,2018,,,,,,,Black,Brown,,No,No,97000000.0,Lagos,,,,
314,No faults,Honda,Accord,2018,Sport,Sedan,Front Wheel,1500cc,4,192hp,Black,Black,5,No,,29300000.0,Lagos,,,,
315,No faults,Toyota,Corolla,2009,LE 4dr Sedan (1.8L 4 cyl 4A),Sedan,Front,1800cc,4,132hp,Black,Other,,No,No,10000000.0,Oyo,,,,
316,,Toyota,Land Cruiser,2006,,,,,,,Silver,,,No,No,22000000.0,Lagos,,,,
317,"Original parts, Unpainted, No faults",Toyota,Highlander,2013,Limited 3.5l 4WD,SUV,All Wheel,3500cc,6,270hp,Silver,Other,5,No,,26500000.0,Lagos,,,,
318,No faults,Toyota,Highlander,2008,4x4,SUV,All Wheel,3500cc,6,274hp,Gold,Other,7,No,,13000000.0,Lagos,,,,
319,,Mercedes-Benz,M Class,2015,,,,,,,White,Brown,,,,32000000.0,Lagos,,,,
320,No faults,Mercedes-Benz,GLE-Class,2018,AMG GLE 43 4MATIC,SUV,All Wheel,3000cc,6,362hp,Blue,Black,5,No,No,65000000.0,Lagos,,,,
321,No faults,Mercedes-Benz,GLE-Class,2016,AMG GLE 43 4MATIC,SUV,All Wheel,3000cc,6,362hp,White,Black,5,No,Yes,73000000.0,Lagos,,,,
322,"Original parts, No faults",Lexus,RX,2005,330,SUV,Front Wheel,3300cc,6,234hp,Silver,Gray,5,Yes,,7850000.0,Lagos,,,,
323,,Toyota,Tundra,2009,,,,,,,White,Brown,,,,12000000.0,Lagos,,,,
324,No faults,Lexus,RX 350,2022,,,,,,,Blue,Brown,,No,,75200000.0,Lagos,,,,
